City,Date,Sunup,Sundown
toronto,2010-04-01,06:59,19:44
toronto,2010-04-02,06:57,19:45
toronto,2010-04-03,06:55,19:46
toronto,2010-04-04,06:53,19:47
toronto,2010-04-05,06:52,19:49
toronto,2010-04-06,06:50,19:50
toronto,2010-04-07,06:48,19:51
toronto,2010-04-08,06:46,19:52
toronto,2010-04-09,06:45,19:53
toronto,2010-04-10,06:43,19:54
toronto,2010-04-11,06:41,19:56
toronto,2010-04-12,06:39,19:57
toronto,2010-04-13,06:38,19:58
toronto,2010-04-14,06:36,19:59
toronto,2010-04-15,06:34,20:00
toronto,2010-04-16,06:33,20:02
toronto,2010-04-17,06:31,20:03
toronto,2010-04-18,06:29,20:04
toronto,2010-04-19,06:28,20:05
toronto,2010-04-20,06:26,20:06
toronto,2010-04-21,06:25,20:08
toronto,2010-04-22,06:23,20:09
toronto,2010-04-23,06:21,20:10
toronto,2010-04-24,06:20,20:11
toronto,2010-04-25,06:18,20:12
toronto,2010-04-26,06:17,20:14
toronto,2010-04-27,06:15,20:15
toronto,2010-04-28,06:14,20:16
toronto,2010-04-29,06:12,20:17
toronto,2010-04-30,06:11,20:18
toronto,2010-05-01,06:10,20:19
toronto,2010-05-02,06:08,20:21
toronto,2010-05-03,06:07,20:22
toronto,2010-05-04,06:05,20:23
toronto,2010-05-05,06:04,20:24
toronto,2010-05-06,06:03,20:25
toronto,2010-05-07,06:01,20:26
toronto,2010-05-08,06:00,20:28
toronto,2010-05-09,05:59,20:29
toronto,2010-05-10,05:58,20:30
toronto,2010-05-11,05:57,20:31
toronto,2010-05-12,05:55,20:32
toronto,2010-05-13,05:54,20:33
toronto,2010-05-14,05:53,20:34
toronto,2010-05-15,05:52,20:35
toronto,2010-05-16,05:51,20:36
toronto,2010-05-17,05:50,20:38
toronto,2010-05-18,05:49,20:39
toronto,2010-05-19,05:48,20:40
toronto,2010-05-20,05:47,20:41
toronto,2010-05-21,05:46,20:42
toronto,2010-05-22,05:45,20:43
toronto,2010-05-23,05:44,20:44
toronto,2010-05-24,05:44,20:45
toronto,2010-05-25,05:43,20:46
toronto,2010-05-26,05:42,20:47
toronto,2010-05-27,05:41,20:47
toronto,2010-05-28,05:41,20:48
toronto,2010-05-29,05:40,20:49
toronto,2010-05-30,05:40,20:50
toronto,2010-05-31,05:39,20:51
toronto,2010-06-01,05:38,20:52
toronto,2010-06-02,05:38,20:52
toronto,2010-06-03,05:38,20:53
toronto,2010-06-04,05:37,20:54
toronto,2010-06-05,05:37,20:55
toronto,2010-06-06,05:36,20:55
toronto,2010-06-07,05:36,20:56
toronto,2010-06-08,05:36,20:57
toronto,2010-06-09,05:36,20:57
toronto,2010-06-10,05:35,20:58
toronto,2010-06-11,05:35,20:58
toronto,2010-06-12,05:35,20:59
toronto,2010-06-13,05:35,20:59
toronto,2010-06-14,05:35,21:00
toronto,2010-06-15,05:35,21:00
toronto,2010-06-16,05:35,21:01
toronto,2010-06-17,05:35,21:01
toronto,2010-06-18,05:35,21:01
toronto,2010-06-19,05:35,21:02
toronto,2010-06-20,05:35,21:02
toronto,2010-06-21,05:36,21:02
toronto,2010-06-22,05:36,21:02
toronto,2010-06-23,05:36,21:02
toronto,2010-06-24,05:36,21:03
toronto,2010-06-25,05:37,21:03
toronto,2010-06-26,05:37,21:03
toronto,2010-06-27,05:37,21:03
toronto,2010-06-28,05:38,21:03
toronto,2010-06-29,05:38,21:03
toronto,2010-06-30,05:39,21:02
toronto,2010-07-01,05:39,21:02
toronto,2010-07-02,05:40,21:02
toronto,2010-07-03,05:40,21:02
toronto,2010-07-04,05:41,21:02
toronto,2010-07-05,05:42,21:01
toronto,2010-07-06,05:42,21:01
toronto,2010-07-07,05:43,21:01
toronto,2010-07-08,05:44,21:00
toronto,2010-07-09,05:44,21:00
toronto,2010-07-10,05:45,20:59
toronto,2010-07-11,05:46,20:59
toronto,2010-07-12,05:47,20:58
toronto,2010-07-13,05:48,20:58
toronto,2010-07-14,05:48,20:57
toronto,2010-07-15,05:49,20:56
toronto,2010-07-16,05:50,20:56
toronto,2010-07-17,05:51,20:55
toronto,2010-07-18,05:52,20:54
toronto,2010-07-19,05:53,20:53
toronto,2010-07-20,05:54,20:52
toronto,2010-07-21,05:55,20:51
toronto,2010-07-22,05:56,20:51
toronto,2010-07-23,05:57,20:50
toronto,2010-07-24,05:58,20:49
toronto,2010-07-25,05:59,20:48
toronto,2010-07-26,06:00,20:47
toronto,2010-07-27,06:01,20:46
toronto,2010-07-28,06:02,20:45
toronto,2010-07-29,06:03,20:43
toronto,2010-07-30,06:04,20:42
toronto,2010-07-31,06:05,20:41
toronto,2010-08-01,06:06,20:40
toronto,2010-08-02,06:07,20:39
toronto,2010-08-03,06:08,20:37
toronto,2010-08-04,06:09,20:36
toronto,2010-08-05,06:10,20:35
toronto,2010-08-06,06:12,20:34
toronto,2010-08-07,06:13,20:32
toronto,2010-08-08,06:14,20:31
toronto,2010-08-09,06:15,20:29
toronto,2010-08-10,06:16,20:28
toronto,2010-08-11,06:17,20:27
toronto,2010-08-12,06:18,20:25
toronto,2010-08-13,06:19,20:24
toronto,2010-08-14,06:20,20:22
toronto,2010-08-15,06:22,20:21
toronto,2010-08-16,06:23,20:19
toronto,2010-08-17,06:24,20:18
toronto,2010-08-18,06:25,20:16
toronto,2010-08-19,06:26,20:14
toronto,2010-08-20,06:27,20:13
toronto,2010-08-21,06:28,20:11
toronto,2010-08-22,06:29,20:10
toronto,2010-08-23,06:31,20:08
toronto,2010-08-24,06:32,20:06
toronto,2010-08-25,06:33,20:05
toronto,2010-08-26,06:34,20:03
toronto,2010-08-27,06:35,20:01
toronto,2010-08-28,06:36,19:59
toronto,2010-08-29,06:37,19:58
toronto,2010-08-30,06:38,19:56
toronto,2010-08-31,06:40,19:54
toronto,2010-09-01,06:41,19:53
toronto,2010-09-02,06:42,19:51
toronto,2010-09-03,06:43,19:49
toronto,2010-09-04,06:44,19:47
toronto,2010-09-05,06:45,19:45
toronto,2010-09-06,06:46,19:44
toronto,2010-09-07,06:47,19:42
toronto,2010-09-08,06:48,19:40
toronto,2010-09-09,06:50,19:38
toronto,2010-09-10,06:51,19:36
toronto,2010-09-11,06:52,19:35
toronto,2010-09-12,06:53,19:33
toronto,2010-09-13,06:54,19:31
toronto,2010-09-14,06:55,19:29
toronto,2010-09-15,06:56,19:27
toronto,2010-09-16,06:57,19:25
toronto,2010-09-17,06:59,19:24
toronto,2010-09-18,07:00,19:22
toronto,2010-09-19,07:01,19:20
toronto,2010-09-20,07:02,19:18
toronto,2010-09-21,07:03,19:16
toronto,2010-09-22,07:04,19:14
toronto,2010-09-23,07:05,19:13
toronto,2010-09-24,07:06,19:11
toronto,2010-09-25,07:08,19:09
toronto,2010-09-26,07:09,19:07
toronto,2010-09-27,07:10,19:05
toronto,2010-09-28,07:11,19:03
toronto,2010-09-29,07:12,19:02
toronto,2010-09-30,07:13,19:00
toronto,2010-10-01,07:15,18:58
toronto,2010-10-02,07:16,18:56
toronto,2010-10-03,07:17,18:54
toronto,2010-10-04,07:18,18:53
toronto,2010-10-05,07:19,18:51
toronto,2010-10-06,07:20,18:49
toronto,2010-10-07,07:22,18:47
toronto,2010-10-08,07:23,18:46
toronto,2010-10-09,07:24,18:44
toronto,2010-10-10,07:25,18:42
toronto,2010-10-11,07:26,18:40
toronto,2010-10-12,07:28,18:39
toronto,2010-10-13,07:29,18:37
toronto,2010-10-14,07:30,18:35
toronto,2010-10-15,07:31,18:34
toronto,2010-10-16,07:32,18:32
toronto,2010-10-17,07:34,18:30
toronto,2010-10-18,07:35,18:29
toronto,2010-10-19,07:36,18:27
toronto,2010-10-20,07:37,18:26
toronto,2010-10-21,07:39,18:24
toronto,2010-10-22,07:40,18:22
toronto,2010-10-23,07:41,18:21
toronto,2010-10-24,07:42,18:19
toronto,2010-10-25,07:44,18:18
toronto,2010-10-26,07:45,18:16
toronto,2010-10-27,07:46,18:15
toronto,2010-10-28,07:48,18:13
toronto,2010-10-29,07:49,18:12
toronto,2010-10-30,07:50,18:11
toronto,2010-10-31,07:51,18:09
toronto,2010-11-01,07:53,18:08
toronto,2010-11-02,07:54,18:07
toronto,2010-11-03,07:55,18:05
toronto,2010-11-04,07:57,18:04
toronto,2010-11-05,07:58,18:03
toronto,2010-11-06,07:59,18:01
toronto,2010-11-07,07:01,17:00
toronto,2010-11-08,07:02,16:59
toronto,2010-11-09,07:03,16:58
toronto,2010-11-10,07:05,16:57
toronto,2010-11-11,07:06,16:56
toronto,2010-11-12,07:07,16:55
toronto,2010-11-13,07:08,16:54
toronto,2010-11-14,07:10,16:53
toronto,2010-11-15,07:11,16:52
toronto,2010-11-16,07:12,16:51
toronto,2010-11-17,07:14,16:50
toronto,2010-11-18,07:15,16:49
toronto,2010-11-19,07:16,16:48
toronto,2010-11-20,07:17,16:48
toronto,2010-11-21,07:19,16:47
toronto,2010-11-22,07:20,16:46
toronto,2010-11-23,07:21,16:45
toronto,2010-11-24,07:22,16:45
toronto,2010-11-25,07:24,16:44
toronto,2010-11-26,07:25,16:44
toronto,2010-11-27,07:26,16:43
toronto,2010-11-28,07:27,16:43
toronto,2010-11-29,07:28,16:42
toronto,2010-11-30,07:29,16:42
toronto,2010-12-01,07:31,16:41
toronto,2010-12-02,07:32,16:41
toronto,2010-12-03,07:33,16:41
toronto,2010-12-04,07:34,16:41
toronto,2010-12-05,07:35,16:40
toronto,2010-12-06,07:36,16:40
toronto,2010-12-07,07:37,16:40
toronto,2010-12-08,07:38,16:40
toronto,2010-12-09,07:39,16:40
toronto,2010-12-10,07:40,16:40
toronto,2010-12-11,07:40,16:40
toronto,2010-12-12,07:41,16:40
toronto,2010-12-13,07:42,16:40
toronto,2010-12-14,07:43,16:41
toronto,2010-12-15,07:44,16:41
toronto,2010-12-16,07:44,16:41
toronto,2010-12-17,07:45,16:41
toronto,2010-12-18,07:46,16:42
toronto,2010-12-19,07:46,16:42
toronto,2010-12-20,07:47,16:43
toronto,2010-12-21,07:47,16:43
toronto,2010-12-22,07:48,16:44
toronto,2010-12-23,07:48,16:44
toronto,2010-12-24,07:49,16:45
toronto,2010-12-25,07:49,16:45
toronto,2010-12-26,07:49,16:46
toronto,2010-12-27,07:50,16:47
toronto,2010-12-28,07:50,16:47
toronto,2010-12-29,07:50,16:48
toronto,2010-12-30,07:50,16:49
toronto,2010-12-31,07:50,16:50
toronto,2011-01-01,07:51,16:51
toronto,2011-01-02,07:51,16:52
toronto,2011-01-03,07:51,16:53
toronto,2011-01-04,07:51,16:53
toronto,2011-01-05,07:51,16:54
toronto,2011-01-06,07:50,16:55
toronto,2011-01-07,07:50,16:57
toronto,2011-01-08,07:50,16:58
toronto,2011-01-09,07:50,16:59
toronto,2011-01-10,07:50,17:00
toronto,2011-01-11,07:49,17:01
toronto,2011-01-12,07:49,17:02
toronto,2011-01-13,07:48,17:03
toronto,2011-01-14,07:48,17:04
toronto,2011-01-15,07:48,17:06
toronto,2011-01-16,07:47,17:07
toronto,2011-01-17,07:47,17:08
toronto,2011-01-18,07:46,17:09
toronto,2011-01-19,07:45,17:11
toronto,2011-01-20,07:45,17:12
toronto,2011-01-21,07:44,17:13
toronto,2011-01-22,07:43,17:14
toronto,2011-01-23,07:42,17:16
toronto,2011-01-24,07:42,17:17
toronto,2011-01-25,07:41,17:18
toronto,2011-01-26,07:40,17:20
toronto,2011-01-27,07:39,17:21
toronto,2011-01-28,07:38,17:22
toronto,2011-01-29,07:37,17:24
toronto,2011-01-30,07:36,17:25
toronto,2011-01-31,07:35,17:26
toronto,2011-02-01,07:34,17:28
toronto,2011-02-02,07:33,17:29
toronto,2011-02-03,07:32,17:31
toronto,2011-02-04,07:30,17:32
toronto,2011-02-05,07:29,17:33
toronto,2011-02-06,07:28,17:35
toronto,2011-02-07,07:27,17:36
toronto,2011-02-08,07:26,17:37
toronto,2011-02-09,07:24,17:39
toronto,2011-02-10,07:23,17:40
toronto,2011-02-11,07:22,17:42
toronto,2011-02-12,07:20,17:43
toronto,2011-02-13,07:19,17:44
toronto,2011-02-14,07:17,17:46
toronto,2011-02-15,07:16,17:47
toronto,2011-02-16,07:15,17:48
toronto,2011-02-17,07:13,17:50
toronto,2011-02-18,07:12,17:51
toronto,2011-02-19,07:10,17:52
toronto,2011-02-20,07:09,17:54
toronto,2011-02-21,07:07,17:55
toronto,2011-02-22,07:05,17:56
toronto,2011-02-23,07:04,17:58
toronto,2011-02-24,07:02,17:59
toronto,2011-02-25,07:01,18:00
toronto,2011-02-26,06:59,18:02
toronto,2011-02-27,06:57,18:03
toronto,2011-02-28,06:56,18:04
toronto,2011-03-01,06:54,18:05
toronto,2011-03-02,06:52,18:07
toronto,2011-03-03,06:51,18:08
toronto,2011-03-04,06:49,18:09
toronto,2011-03-05,06:47,18:11
toronto,2011-03-06,06:46,18:12
toronto,2011-03-07,06:44,18:13
toronto,2011-03-08,06:42,18:14
toronto,2011-03-09,06:40,18:16
toronto,2011-03-10,06:39,18:17
toronto,2011-03-11,06:37,18:18
toronto,2011-03-12,06:35,18:19
toronto,2011-03-13,07:33,19:21
toronto,2011-03-14,07:32,19:22
toronto,2011-03-15,07:30,19:23
toronto,2011-03-16,07:28,19:24
toronto,2011-03-17,07:26,19:25
toronto,2011-03-18,07:24,19:27
toronto,2011-03-19,07:23,19:28
toronto,2011-03-20,07:21,19:29
toronto,2011-03-21,07:19,19:30
toronto,2011-03-22,07:17,19:31
toronto,2011-03-23,07:15,19:33
toronto,2011-03-24,07:14,19:34
toronto,2011-03-25,07:12,19:35
toronto,2011-03-26,07:10,19:36
toronto,2011-03-27,07:08,19:37
toronto,2011-03-28,07:06,19:39
toronto,2011-03-29,07:05,19:40
toronto,2011-03-30,07:03,19:41
toronto,2011-03-31,07:01,19:42
toronto,2011-04-01,06:59,19:43
toronto,2011-04-02,06:57,19:45
toronto,2011-04-03,06:56,19:46
toronto,2011-04-04,06:54,19:47
toronto,2011-04-05,06:52,19:48
toronto,2011-04-06,06:50,19:49
toronto,2011-04-07,06:49,19:51
toronto,2011-04-08,06:47,19:52
toronto,2011-04-09,06:45,19:53
toronto,2011-04-10,06:43,19:54
toronto,2011-04-11,06:42,19:55
toronto,2011-04-12,06:40,19:57
toronto,2011-04-13,06:38,19:58
toronto,2011-04-14,06:37,19:59
toronto,2011-04-15,06:35,20:00
toronto,2011-04-16,06:33,20:01
toronto,2011-04-17,06:31,20:03
toronto,2011-04-18,06:30,20:04
toronto,2011-04-19,06:28,20:05
toronto,2011-04-20,06:27,20:06
toronto,2011-04-21,06:25,20:07
toronto,2011-04-22,06:23,20:09
toronto,2011-04-23,06:22,20:10
toronto,2011-04-24,06:20,20:11
toronto,2011-04-25,06:19,20:12
toronto,2011-04-26,06:17,20:13
toronto,2011-04-27,06:16,20:14
toronto,2011-04-28,06:14,20:16
toronto,2011-04-29,06:13,20:17
toronto,2011-04-30,06:11,20:18
toronto,2011-05-01,06:10,20:19
toronto,2011-05-02,06:08,20:20
toronto,2011-05-03,06:07,20:22
toronto,2011-05-04,06:06,20:23
toronto,2011-05-05,06:04,20:24
toronto,2011-05-06,06:03,20:25
toronto,2011-05-07,06:02,20:26
toronto,2011-05-08,06:00,20:27
toronto,2011-05-09,05:59,20:28
toronto,2011-05-10,05:58,20:30
toronto,2011-05-11,05:57,20:31
toronto,2011-05-12,05:56,20:32
toronto,2011-05-13,05:55,20:33
toronto,2011-05-14,05:53,20:34
toronto,2011-05-15,05:52,20:35
toronto,2011-05-16,05:51,20:36
toronto,2011-05-17,05:50,20:37
toronto,2011-05-18,05:49,20:38
toronto,2011-05-19,05:48,20:39
toronto,2011-05-20,05:47,20:40
toronto,2011-05-21,05:46,20:41
toronto,2011-05-22,05:46,20:42
toronto,2011-05-23,05:45,20:43
toronto,2011-05-24,05:44,20:44
toronto,2011-05-25,05:43,20:45
toronto,2011-05-26,05:42,20:46
toronto,2011-05-27,05:42,20:47
toronto,2011-05-28,05:41,20:48
toronto,2011-05-29,05:40,20:49
toronto,2011-05-30,05:40,20:50
toronto,2011-05-31,05:39,20:51
toronto,2011-06-01,05:39,20:52
toronto,2011-06-02,05:38,20:52
toronto,2011-06-03,05:38,20:53
toronto,2011-06-04,05:37,20:54
toronto,2011-06-05,05:37,20:55
toronto,2011-06-06,05:36,20:55
toronto,2011-06-07,05:36,20:56
toronto,2011-06-08,05:36,20:57
toronto,2011-06-09,05:36,20:57
toronto,2011-06-10,05:35,20:58
toronto,2011-06-11,05:35,20:58
toronto,2011-06-12,05:35,20:59
toronto,2011-06-13,05:35,20:59
toronto,2011-06-14,05:35,21:00
toronto,2011-06-15,05:35,21:00
toronto,2011-06-16,05:35,21:01
toronto,2011-06-17,05:35,21:01
toronto,2011-06-18,05:35,21:01
toronto,2011-06-19,05:35,21:02
toronto,2011-06-20,05:35,21:02
toronto,2011-06-21,05:36,21:02
toronto,2011-06-22,05:36,21:02
toronto,2011-06-23,05:36,21:02
toronto,2011-06-24,05:36,21:03
toronto,2011-06-25,05:37,21:03
toronto,2011-06-26,05:37,21:03
toronto,2011-06-27,05:37,21:03
toronto,2011-06-28,05:38,21:03
toronto,2011-06-29,05:38,21:03
toronto,2011-06-30,05:39,21:02
toronto,2011-07-01,05:39,21:02
toronto,2011-07-02,05:40,21:02
toronto,2011-07-03,05:40,21:02
toronto,2011-07-04,05:41,21:02
toronto,2011-07-05,05:42,21:01
toronto,2011-07-06,05:42,21:01
toronto,2011-07-07,05:43,21:01
toronto,2011-07-08,05:44,21:00
toronto,2011-07-09,05:44,21:00
toronto,2011-07-10,05:45,20:59
toronto,2011-07-11,05:46,20:59
toronto,2011-07-12,05:47,20:58
toronto,2011-07-13,05:47,20:58
toronto,2011-07-14,05:48,20:57
toronto,2011-07-15,05:49,20:56
toronto,2011-07-16,05:50,20:56
toronto,2011-07-17,05:51,20:55
toronto,2011-07-18,05:52,20:54
toronto,2011-07-19,05:53,20:53
toronto,2011-07-20,05:54,20:53
toronto,2011-07-21,05:55,20:52
toronto,2011-07-22,05:56,20:51
toronto,2011-07-23,05:57,20:50
toronto,2011-07-24,05:58,20:49
toronto,2011-07-25,05:59,20:48
toronto,2011-07-26,06:00,20:47
toronto,2011-07-27,06:01,20:46
toronto,2011-07-28,06:02,20:45
toronto,2011-07-29,06:03,20:44
toronto,2011-07-30,06:04,20:43
toronto,2011-07-31,06:05,20:41
toronto,2011-08-01,06:06,20:40
toronto,2011-08-02,06:07,20:39
toronto,2011-08-03,06:08,20:38
toronto,2011-08-04,06:09,20:36
toronto,2011-08-05,06:10,20:35
toronto,2011-08-06,06:11,20:34
toronto,2011-08-07,06:12,20:33
toronto,2011-08-08,06:14,20:31
toronto,2011-08-09,06:15,20:30
toronto,2011-08-10,06:16,20:28
toronto,2011-08-11,06:17,20:27
toronto,2011-08-12,06:18,20:25
toronto,2011-08-13,06:19,20:24
toronto,2011-08-14,06:20,20:22
toronto,2011-08-15,06:21,20:21
toronto,2011-08-16,06:22,20:19
toronto,2011-08-17,06:24,20:18
toronto,2011-08-18,06:25,20:16
toronto,2011-08-19,06:26,20:15
toronto,2011-08-20,06:27,20:13
toronto,2011-08-21,06:28,20:12
toronto,2011-08-22,06:29,20:10
toronto,2011-08-23,06:30,20:08
toronto,2011-08-24,06:31,20:07
toronto,2011-08-25,06:33,20:05
toronto,2011-08-26,06:34,20:03
toronto,2011-08-27,06:35,20:02
toronto,2011-08-28,06:36,20:00
toronto,2011-08-29,06:37,19:58
toronto,2011-08-30,06:38,19:56
toronto,2011-08-31,06:39,19:55
toronto,2011-09-01,06:40,19:53
toronto,2011-09-02,06:42,19:51
toronto,2011-09-03,06:43,19:49
toronto,2011-09-04,06:44,19:48
toronto,2011-09-05,06:45,19:46
toronto,2011-09-06,06:46,19:44
toronto,2011-09-07,06:47,19:42
toronto,2011-09-08,06:48,19:40
toronto,2011-09-09,06:49,19:39
toronto,2011-09-10,06:50,19:37
toronto,2011-09-11,06:52,19:35
toronto,2011-09-12,06:53,19:33
toronto,2011-09-13,06:54,19:31
toronto,2011-09-14,06:55,19:30
toronto,2011-09-15,06:56,19:28
toronto,2011-09-16,06:57,19:26
toronto,2011-09-17,06:58,19:24
toronto,2011-09-18,06:59,19:22
toronto,2011-09-19,07:01,19:20
toronto,2011-09-20,07:02,19:19
toronto,2011-09-21,07:03,19:17
toronto,2011-09-22,07:04,19:15
toronto,2011-09-23,07:05,19:13
toronto,2011-09-24,07:06,19:11
toronto,2011-09-25,07:07,19:09
toronto,2011-09-26,07:08,19:08
toronto,2011-09-27,07:10,19:06
toronto,2011-09-28,07:11,19:04
toronto,2011-09-29,07:12,19:02
toronto,2011-09-30,07:13,19:00
toronto,2011-10-01,07:14,18:58
toronto,2011-10-02,07:15,18:57
toronto,2011-10-03,07:17,18:55
toronto,2011-10-04,07:18,18:53
toronto,2011-10-05,07:19,18:51
toronto,2011-10-06,07:20,18:50
toronto,2011-10-07,07:21,18:48
toronto,2011-10-08,07:22,18:46
toronto,2011-10-09,07:24,18:44
toronto,2011-10-10,07:25,18:43
toronto,2011-10-11,07:26,18:41
toronto,2011-10-12,07:27,18:39
toronto,2011-10-13,07:28,18:37
toronto,2011-10-14,07:30,18:36
toronto,2011-10-15,07:31,18:34
toronto,2011-10-16,07:32,18:32
toronto,2011-10-17,07:33,18:31
toronto,2011-10-18,07:35,18:29
toronto,2011-10-19,07:36,18:28
toronto,2011-10-20,07:37,18:26
toronto,2011-10-21,07:38,18:24
toronto,2011-10-22,07:40,18:23
toronto,2011-10-23,07:41,18:21
toronto,2011-10-24,07:42,18:20
toronto,2011-10-25,07:43,18:18
toronto,2011-10-26,07:45,18:17
toronto,2011-10-27,07:46,18:15
toronto,2011-10-28,07:47,18:14
toronto,2011-10-29,07:49,18:12
toronto,2011-10-30,07:50,18:11
toronto,2011-10-31,07:51,18:10
toronto,2011-11-01,07:52,18:08
toronto,2011-11-02,07:54,18:07
toronto,2011-11-03,07:55,18:06
toronto,2011-11-04,07:56,18:04
toronto,2011-11-05,07:58,18:03
toronto,2011-11-06,06:59,17:02
toronto,2011-11-07,07:00,17:01
toronto,2011-11-08,07:02,16:59
toronto,2011-11-09,07:03,16:58
toronto,2011-11-10,07:04,16:57
toronto,2011-11-11,07:06,16:56
toronto,2011-11-12,07:07,16:55
toronto,2011-11-13,07:08,16:54
toronto,2011-11-14,07:09,16:53
toronto,2011-11-15,07:11,16:52
toronto,2011-11-16,07:12,16:51
toronto,2011-11-17,07:13,16:50
toronto,2011-11-18,07:15,16:49
toronto,2011-11-19,07:16,16:48
toronto,2011-11-20,07:17,16:48
toronto,2011-11-21,07:18,16:47
toronto,2011-11-22,07:20,16:46
toronto,2011-11-23,07:21,16:46
toronto,2011-11-24,07:22,16:45
toronto,2011-11-25,07:23,16:44
toronto,2011-11-26,07:25,16:44
toronto,2011-11-27,07:26,16:43
toronto,2011-11-28,07:27,16:43
toronto,2011-11-29,07:28,16:42
toronto,2011-11-30,07:29,16:42
toronto,2011-12-01,07:30,16:41
toronto,2011-12-02,07:31,16:41
toronto,2011-12-03,07:32,16:41
toronto,2011-12-04,07:34,16:41
toronto,2011-12-05,07:35,16:40
toronto,2011-12-06,07:36,16:40
toronto,2011-12-07,07:37,16:40
toronto,2011-12-08,07:37,16:40
toronto,2011-12-09,07:38,16:40
toronto,2011-12-10,07:39,16:40
toronto,2011-12-11,07:40,16:40
toronto,2011-12-12,07:41,16:40
toronto,2011-12-13,07:42,16:40
toronto,2011-12-14,07:43,16:41
toronto,2011-12-15,07:43,16:41
toronto,2011-12-16,07:44,16:41
toronto,2011-12-17,07:45,16:41
toronto,2011-12-18,07:45,16:42
toronto,2011-12-19,07:46,16:42
toronto,2011-12-20,07:47,16:42
toronto,2011-12-21,07:47,16:43
toronto,2011-12-22,07:48,16:43
toronto,2011-12-23,07:48,16:44
toronto,2011-12-24,07:49,16:45
toronto,2011-12-25,07:49,16:45
toronto,2011-12-26,07:49,16:46
toronto,2011-12-27,07:50,16:47
toronto,2011-12-28,07:50,16:47
toronto,2011-12-29,07:50,16:48
toronto,2011-12-30,07:50,16:49
toronto,2011-12-31,07:50,16:50
toronto,2012-01-01,07:51,16:50
toronto,2012-01-02,07:51,16:51
toronto,2012-01-03,07:51,16:52
toronto,2012-01-04,07:51,16:53
toronto,2012-01-05,07:51,16:54
